"","year","language"
"1",1951,"Regional Assembly Language"
"2",1952,"Autocode"
"3",1954,"IPL"
"4",1955,"FLOW-MATIC"
"5",1957,"FORTRAN"
"6",1957,"COMTRAN"
"7",1958,"LISP"
"8",1958,"ALGOL 58"
"9",1959,"FACT"
"10",1959,"COBOL"
"11",1959,"RPG"
"12",1962,"APL"
"13",1962,"Simula"
"14",1962,"SNOBOL"
"15",1963,"CPL"
"16",1964,"Speakeasy"
"17",1964,"BASIC"
"18",1964,"PL/I"
"19",1966,"JOSS"
"20",1967,"BCPL"
"21",1968,"Logo"
"22",1969,"B"
"23",1970,"Pascal"
"24",1970,"Forth"
"25",1972,"C"
"26",1972,"Smalltalk"
"27",1972,"Prolog"
"28",1973,"ML"
"29",1975,"Scheme"
"30",1978,"SQL "
"31",1980,"C++ "
"32",1983,"Ada"
"33",1984,"Common Lisp"
"34",1984,"MATLAB"
"35",1984,"dBase III"
"36",1985,"Eiffel"
"37",1986,"Objective-C"
"38",1986,"LabVIEW "
"39",1986,"Erlang"
"40",1987,"Perl"
"41",1988,"Tcl"
"42",1988,"Wolfram Language "
"43",1989,"FL "
"44",1990,"Haskell"
"45",1991,"Python"
"46",1991,"Visual Basic"
"47",1993,"Lua"
"48",1993,"R"
"49",1994,"CLOS "
"50",1995,"Ruby"
"51",1995,"Ada 95"
"52",1995,"Java"
"53",1995,"Delphi "
"54",1995,"JavaScript"
"55",1995,"PHP"
"56",1997,"Rebol"
"57",2000,"ActionScript"
"58",2001,"C#"
"59",2001,"D"
"60",2002,"Scratch"
"61",2003,"Groovy"
"62",2003,"Scala"
"63",2005,"F#"
"64",2006,"PowerShell"
"65",2007,"Clojure"
"66",2009,"Go"
"67",2010,"Rust"
"68",2011,"Dart"
"69",2011,"Kotlin"
"70",2011,"Red"
"71",2011,"Elixir"
"72",2012,"Julia"
"73",2014,"Swift"
