"","country","year","LifeExp","income","population","continent"
"1","Afghanistan",1800,28.2,603,3280000,"Asia"
"2","Albania",1800,35.4,667,400000,"Europe"
"3","Algeria",1800,28.8,715,2500000,"Africa"
"4","Andorra",1800,NA,1200,2650,"Europe"
"5","Angola",1800,27,618,1570000,"Africa"
"6","Antigua and Barbuda",1800,33.5,757,37000,"The Americas"
"7","Argentina",1800,33.2,1640,534000,"The Americas"
"8","Armenia",1800,34,514,413000,"Asia"
"9","Australia",1800,34,817,200000,"Oceania"
"10","Austria",1800,34.4,1850,3000000,"Europe"
"11","Azerbaijan",1800,29.2,775,880000,"Asia"
"12","Bahrain",1800,30.3,1240,64500,"Middle East"
"13","Bangladesh",1800,25.5,876,19200000,"Asia"
"14","Barbados",1800,32.1,913,81700,"The Americas"
"15","Belarus",1800,36.2,608,2360000,"Europe"
"16","Belgium",1800,40,2390,3250000,"Europe"
"17","Belize",1800,26.5,579,25500,"The Americas"
"18","Benin",1800,31,597,637000,"Africa"
"19","Bhutan",1800,28.8,629,392000,"Asia"
"20","Bolivia",1800,33,854,887000,"The Americas"
"21","Bosnia and Herzegovina",1800,35.1,669,852000,"Europe"
"22","Botswana",1800,33.6,397,121000,"Africa"
"23","Brazil",1800,32,1120,2500000,"The Americas"
"24","Brunei",1800,29.2,1510,2260,"Asia"
"25","Bulgaria",1800,35.8,1090,2250000,"Europe"
"26","Burkina Faso",1800,29.2,480,1670000,"Africa"
"27","Burundi",1800,31.5,418,899000,"Africa"
"28","Cambodia",1800,35,384,2090000,"Asia"
"29","Cameroon",1800,28.8,626,1860000,"Africa"
"30","Canada",1800,39,1310,500000,"The Americas"
"31","Central African Republic",1800,30,424,479000,"Africa"
"32","Chad",1800,30.9,418,1430000,"Africa"
"33","Chile",1800,32,744,771000,"The Americas"
"34","China",1800,32,736,330000000,"Asia"
"35","Colombia",1800,32,937,1210000,"The Americas"
"36","Comoros",1800,32.1,696,56300,"Africa"
"37","Costa Rica",1800,30.2,775,53000,"The Americas"
"38","Cote d'Ivoire",1800,31.2,812,1090000,"Africa"
"39","Croatia",1800,36.1,1080,1230000,"Europe"
"40","Cuba",1800,32.2,902,272000,"The Americas"
"41","Cyprus",1800,38.5,853,184000,"Europe"
"42","Czech Republic",1800,35,1920,5520000,"Europe"
"43","Denmark",1800,37.4,2010,1000000,"Europe"
"44","Djibouti",1800,29.9,752,22800,"Africa"
"45","Dominica",1800,NA,663,20000,"The Americas"
"46","Dominican Republic",1800,29.9,667,150000,"The Americas"
"47","Ecuador",1800,32.9,529,500000,"The Americas"
"48","Egypt",1800,33,1590,3500000,"Africa"
"49","El Salvador",1800,28.7,974,248000,"The Americas"
"50","Equatorial Guinea",1800,29.8,356,80400,"Africa"
"51","Eritrea",1800,30.2,532,205000,"Africa"
"52","Estonia",1800,36.1,938,334000,"Europe"
"53","Ethiopia",1800,29.7,523,12000000,"Africa"
"54","Fiji",1800,26.1,785,131000,"Oceania"
"55","Finland",1800,36.6,1230,800000,"Europe"
"56","France",1800,34,1850,29000000,"Europe"
"57","Gabon",1800,30.6,390,158000,"Africa"
"58","Georgia",1800,31.9,543,1070000,"Asia"
"59","Germany",1800,38.4,1990,18000000,"Europe"
"60","Ghana",1800,28,696,2020000,"Africa"
"61","Greece",1800,36.6,1370,2250000,"Europe"
"62","Grenada",1800,31.4,959,29400,"The Americas"
"63","Guatemala",1800,25.8,857,463000,"The Americas"
"64","Guinea",1800,29.5,450,984000,"Africa"
"65","Guinea-Bissau",1800,32,567,218000,"Africa"
"66","Guyana",1800,31.1,1210,166000,"The Americas"
"67","Haiti",1800,29,633,500000,"The Americas"
"68","Honduras",1800,33.9,675,130000,"The Americas"
"69","Hungary",1800,36,1250,3250000,"Europe"
"70","Iceland",1800,42.9,926,61400,"Europe"
"71","India",1800,25.4,863,201000000,"Asia"
"72","Indonesia",1800,30,990,16100000,"Asia"
"73","Iran",1800,25.6,1530,6000000,"Middle East"
"74","Iraq",1800,31.2,3840,1000000,"Middle East"
"75","Ireland",1800,38.3,1460,5250000,"Europe"
"76","Israel",1800,32,879,210000,"Middle East"
"77","Italy",1800,29.7,2780,19000000,"Europe"
"78","Jamaica",1800,34.2,1360,300000,"The Americas"
"79","Japan",1800,36.4,1010,28000000,"Asia"
"80","Jordan",1800,31.7,1130,200000,"Middle East"
"81","Kazakhstan",1800,26.2,1140,2040000,"Asia"
"82","Kenya",1800,25.5,854,2570000,"Africa"
"83","Kiribati",1800,24.9,551,17900,"Oceania"
"84","Kuwait",1800,26,1100,81300,"Middle East"
"85","Latvia",1800,33,751,591000,"Europe"
"86","Lebanon",1800,29.7,2150,300000,"Middle East"
"87","Lesotho",1800,32.8,351,276000,"Africa"
"88","Liberia",1800,31.1,797,314000,"Africa"
"89","Libya",1800,33.1,1050,230000,"Africa"
"90","Lithuania",1800,28.9,1270,779000,"Europe"
"91","Luxembourg",1800,36.9,1450,127000,"Europe"
"92","Madagascar",1800,30.5,573,1500000,"Africa"
"93","Malawi",1800,30.3,350,737000,"Africa"
"94","Malaysia",1800,30.6,1120,287000,"Asia"
"95","Maldives",1800,32.6,842,42400,"Asia"
"96","Mali",1800,26.4,603,1400000,"Africa"
"97","Malta",1800,28.7,781,134000,"Europe"
"98","Marshall Islands",1800,NA,539,5830,"Oceania"
"99","Mauritania",1800,32,527,383000,"Africa"
"100","Mauritius",1800,28.7,940,59000,"Africa"
"101","Mexico",1800,26.9,1560,5100000,"The Americas"
"102","Micronesia, Fed. Sts.",1800,26.7,518,16400,"Oceania"
"103","Moldova",1800,33.1,621,713000,"Europe"
"104","Mongolia",1800,31.8,592,600000,"Asia"
"105","Montenegro",1800,35.4,1060,127000,"Europe"
"106","Morocco",1800,33.1,714,2500000,"Africa"
"107","Mozambique",1800,30.3,390,2000000,"Africa"
"108","Myanmar",1800,30.8,594,6000000,"Asia"
"109","Namibia",1800,32.4,540,229000,"Africa"
"110","Nepal",1800,32.8,621,4000000,"Asia"
"111","Netherlands",1800,39.9,3330,2000000,"Europe"
"112","New Zealand",1800,34,658,200000,"Oceania"
"113","Nicaragua",1800,25.4,973,186000,"The Americas"
"114","Niger",1800,30.8,446,853000,"Africa"
"115","Nigeria",1800,30.4,851,12100000,"Africa"
"116","North Korea",1800,26,250,4350000,"Asia"
"117","North Macedonia",1800,36.1,690,392000,"Europe"
"118","Norway",1800,37.9,2530,900000,"Europe"
"119","Oman",1800,32.3,915,300000,"Middle East"
"120","Pakistan",1800,25.8,1020,13100000,"Asia"
"121","Panama",1800,32.9,847,75600,"The Americas"
"122","Papua New Guinea",1800,31.5,546,755000,"Oceania"
"123","Paraguay",1800,35.5,835,300000,"The Americas"
"124","Peru",1800,35.7,1120,1270000,"The Americas"
"125","Philippines",1800,30.9,1090,2500000,"Asia"
"126","Poland",1800,35.9,1100,9000000,"Europe"
"127","Portugal",1800,35.6,1730,2750000,"Europe"
"128","Qatar",1800,30.8,1100,14100,"Middle East"
"129","Romania",1800,35.7,377,5500000,"Europe"
"130","Russia",1800,29.6,1430,31300000,"Europe"
"131","Rwanda",1800,31.8,431,928000,"Africa"
"132","Samoa",1800,25.4,1400,47300,"Oceania"
"133","Sao Tome and Principe",1800,31,850,22700,"Africa"
"134","Saudi Arabia",1800,32.1,2370,2000000,"Middle East"
"135","Senegal",1800,25.2,497,1010000,"Africa"
"136","Serbia",1800,35.5,1360,2150000,"Europe"
"137","Seychelles",1800,37,792,12500,"Africa"
"138","Sierra Leone",1800,25.1,734,794000,"Africa"
"139","Singapore",1800,29.1,1020,30000,"Asia"
"140","Slovenia",1800,36.6,1410,470000,"Europe"
"141","Solomon Islands",1800,25.1,363,57000,"Oceania"
"142","Somalia",1800,29.4,694,989000,"Africa"
"143","South Africa",1800,33.5,2280,1450000,"Africa"
"144","South Korea",1800,25.8,462,9400000,"Asia"
"145","South Sudan",1800,26.7,507,1030000,"Africa"
"146","Spain",1800,29.5,1600,11500000,"Europe"
"147","Sri Lanka",1800,32.6,799,1750000,"Asia"
"148","St. Lucia",1800,28,874,24000,"The Americas"
"149","St. Vincent and the Grenadines",1800,26,838,25800,"The Americas"
"150","Sudan",1800,31.4,518,3990000,"Africa"
"151","Suriname",1800,32.9,1640,80700,"The Americas"
"152","Swaziland",1800,32.3,490,86000,"Africa"
"153","Sweden",1800,32.2,1450,2500000,"Europe"
"154","Switzerland",1800,38,2700,1750000,"Europe"
"155","Syria",1800,31.1,502,1250000,"Middle East"
